Id,Url,ImageUrl,ContentCreatedOn,Name,Symbol,CoinName,FullName,Algorithm,ProofType,FullyPremined,TotalCoinSupply,BuiltOn,SmartContractAddress,DecimalPlaces,PreMinedValue,TotalCoinsFreeFloat,SortOrder,Sponsored,Taxonomy,Rating,IsTrading,TotalCoinsMined,BlockNumber,NetHashesPerSecond,BlockReward,BlockTime
906171,/coins/apis/overview,/media/33957383/apis.png,1529409522,APIS,APIS,APIS,APIS (APIS),N/A,PoW,0,9520000000,7605,0x4c0fbe1bb46612915e7967d2c3213cd4d87257ad,18,N/A,N/A,2862,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,9520000000.0,0.0,0,0.0,0.0
906271,/coins/upp/overview,/media/33957387/upp.jpg,1529425221,UPP,UPP,Sentinel Protocol,Sentinel Protocol (UPP),N/A,N/A,0,500000000.00000003,7605,0xc86d054809623432210c107af2e3f619dcfbf652,18,N/A,N/A,2864,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,500000000.0,0.0,0,0.0,0.0
906635,/coins/xt3/overview,/media/33957391/8exrkue2_400x400.jpg,1529490201,XT3,XT3,Xt3ch,Xt3ch (XT3),Scrypt,PoS,0,44000000,N/A,N/A,0,N/A,N/A,2866,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,7630000.0154,231983.0,0,0.0,0.0
907129,/coins/mgd/overview,/media/33957397/obltargr_400x400.jpg,1529572133,MGD,MGD,MassGrid,MassGrid (MGD),Jump Consistent Hash,PoW,0,168000000,N/A,N/A,0,N/A,N/A,2868,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,140697820.790074,295491.0,1291348319.10755,37.4999999701977,300.0
42837,/coins/plu/overview,/media/1382431/plu.png,1486487924,PLU,PLU,Pluton,Pluton (PLU),N/A,N/A,0,20000000,7605,0xD8912C10681D8B21Fd3742244f44658dBA12264E,18,N/A,N/A,1062,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,20000000.0,0.0,0,0.0,0.0
907177,/coins/swach/overview,/media/33957403/scx.jpg,1529578373,SWACH,SWACH,Swachhcoin,Swachhcoin (SWACH),N/A,N/A,0,400000000,7605,0x3afe47a46289b8ee2597ef8d8ce7bebf0f64172e,18,N/A,N/A,2871,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,400000000.0,0.0,0,0.0,0.0
907205,/coins/nwcn/overview,/media/33957401/nwcn.jpg,1529582520,NWCN,NWCN,NowCoin,NowCoin (NWCN),N/A,N/A,0,110000000,5039,N/A,0,N/A,N/A,2872,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,59949547.0,0.0,0,0.0,0.0
907268,/coins/icst/overview,/media/34077390/icst.png,1529590326,ICST,ICST,ICST,ICST (ICST),N/A,N/A,0,3000000000,7605,0xe6bc60a00b81c7f3cbc8f4ef3b0a6805b6851753,18,N/A,N/A,2877,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,3000000000.0,0.0,0,0.0,0.0
933937,/coins/blink/overview,/media/36798586/blink.png,1582534009,BLINK,BLINK,BlockMason Link,BlockMason Link (BLINK),N/A,N/A,0,5000000000,7605,0x42bedd647e387dabec65a7dc3a3babcc68bb664d,18,N/A,N/A,4933,False,"{'Access': 'Permissionless', 'FCA': 'Utility', 'FINMA': 'Utility', 'Industry': 'Blockchain-Specific Application', 'CollateralizedAsset': 'No', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,5000000000.0,0.0,0,0.0,0.0
933939,/coins/jul/overview,/media/36798587/jul.png,1582535959,JUL,JUL,Joule,Joule (JUL),N/A,N/A,0,200000000000,166503,N/A,0,N/A,N/A,4934,False,"{'Access': 'Permissionless', 'FCA': 'Utility', 'FINMA': 'Utility', 'Industry': 'Arts, Entertainment and Recreation', 'CollateralizedAsset': 'No', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,,,,,
884902,/coins/gsc/overview,/media/36798594/gsc.png,1526572355,GSC,GSC,Global Social Chain,Global Social Chain (GSC),N/A,N/A,0,1000000000,7605,0x228ba514309ffdf03a81a205a6d040e429d6e80c,18,N/A,N/A,2713,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,1000000000.0,0.0,0,0.0,0.0
933934,/coins/hns/overview,/media/36798593/hns.png,1582300125,HNS,HNS,Handshake,Handshake (HNS),Blake2B + SHA3,PoW,0,1360000000,N/A,N/A,0,N/A,N/A,4932,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,,,,,
907677,/coins/lynx/overview,/media/34077410/lynx.jpg,1529655876,LYNX,LYNX,Lynx,Lynx (LYNX),Scrypt,HPoW,0,92000000000,N/A,N/A,0,N/A,N/A,2882,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,77872211566.8998,2955359.0,560.29940999666,1.00003051757812,30.0
907721,/coins/posq/overview,/media/34077414/posq.jpg,1529660092,POSQ,POSQ,Poseidon Quark,Poseidon Quark (POSQ),Quark,PoS,0,650000000 ,N/A,N/A,0,N/A,N/A,2884,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,2716264.95302831,199804.0,353325447633,4.99998271667088,60.0
907824,/coins/yce/overview,/media/34077420/yce.jpg,1529671349,YCE,YCE,MYCE,MYCE (YCE),Scrypt,PoW/PoS,0,250000000,N/A,N/A,0,N/A,N/A,2888,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",False,69020732.094543,1339297.0,6490553609793,11.6666666641831,60.0
930921,/coins/occ/overview,/media/35650862/occ.png,1560864150,OCC,OCC,Octoin Coin,Octoin Coin (OCC),N/A,PoS,0,1221596,N/A,N/A,0,N/A,N/A,4374,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,100000000000.0,0.0,0,0.0,0.0
907868,/coins/aro/overview,/media/34077423/aro.jpg,1529675858,ARO,ARO,Arionum,Arionum (ARO),SHA-512,PoW,0,545399000,N/A,N/A,0,N/A,N/A,2891,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",False,60045900.0,0.0,0,0.0,240.0
908896,/coins/btcc/overview,/media/34077427/btcc.png,1529852763,BTCC,BTCC,Bitcoin Core,Bitcoin Core (BTCC),SHA-256,PoW,0,21000000,N/A,N/A,0,N/A,N/A,2894,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,,,,,
909304,/coins/muse/overview,/media/34077432/muse.jpg,1529926130,MUSE,MUSE,Muse,Muse (MUSE),DPoS,PoS,0,18081806 ,N/A,N/A,0,N/A,N/A,2896,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,18194936.0,0.0,0,0.0,0.0
909342,/coins/oct/overview,/media/34077434/oct.jpg,1529931875,OCT,OCT,OracleChain,OracleChain (OCT),N/A,N/A,0,200000000,166503,N/A,4,N/A,N/A,2897,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,200000000.0,0.0,0,0.0,0.0
